word,root
مقتضى,قضي
الشرح,شرح
الذي,#
يقتضي,قضي
الاقتصار,قصر
على,#
إبانة,بين
المشروح,شرح
ليصح,صحح
الاكتفاء,كفي
به,#
والاستغناء,غني
عن,#
غيره,غير
وقد,#
اعتمدت,عمد
بكتابي,كتب
هذا,#
شرحه,شرح
على,#
أعدل,عدل
شروحه,شرح
وترجمته,ترجم
الحاوي,حوي
رجاء,رجو
أن,#
يكون,كون
حاويا,حوي
لما,#
أوجبه,وجب
بقدر,قدر
الحال,حول
من,#
الاستيفاء,وفي
والاستيعاب,وعب
في,#
أوضح,وضح
تقديم,قدم
وأصح,صحي
ترتيب,رتب
وأسهل,سهل
مأخذ,أخذ
واحد,وحد
في,#
فصول,فصل
وأنا,#
أسأل,سأل
الله,أله
أكرم,كرم
مسؤول,سأل
أن,#
يجعل,جعل
التوفيق,وفق
لي,#
مادة,مدد
والمعونة,عون
هداية,هدأ
بطوله,طول
ومشيئته,شيأ
قال,قول
إبراهيم,ابراهيم
بن,بني
إسماعيل,#
بن,بني
يحيى,حيا
المزني,#
اختصرت,خصر
هذا,#
من,#
علم,علم
الشافعي,شفع
من,#
معنى,عني
قوله,قول
لأقربه,قرب
على,#
من,#
أراده,رود
مع,#
إعلامية,علم
نهيه,نهي
عن,#
تقليده,قلد
وتقليد,قلد
غيره,غير
لينظر,نظر
فيه,#
لدينه,دين
ويحتاط,حوط
فيه,#
لنفسه,نفس
وبالله,أله
التوفيق,وفق
وقال,قول
الماوردي,ورد
ابتدأ,#
المزني,#
بهذه,#
الترجمة,ترجم
في,#
كتابه,كتب
فاعترض,عرض
عليه,#
فيها,#
من,#
حساد,حسد
الفضل,فضل
من,#
أغراهم,غري
التقدم,قدم
بالمنازعة,نزع
وبعثهم,بعث
الاشتهار,شهر
على,#
المذمة,ذمي
وكان,كون
ممن,#
اعترض,#
عليه,#
فيها,#
النهرماني,هرم
المغربي,غرب
القهي,قهي
وأبو,أبي
طالب,طلب
الكاتب,كتب
ثم,ثم
تعقبهم,عقب
ابن,بني
داود,#
فكان,كون
اعتراضهم,عرض
فيها,#
من,#
وجوه,وجه
فأول,أول
وجوه,وجه
اعتراضهم,عرض
فيها,#
أن,#
قالوا,قول
لم,#
لم,#
يحمد,حمد
الله,أله
تعالى,علا
تبركا,برك
بذكره,ذكر
واقتداء,قدي
بغيره,#
واتباعا,تبع
لما,#
رواه,روي
الأوزاعي,وزع
عن,#
قرة,قرر
بن,بني
عبد,عبد
الرحمن,رحم
عن,#
الزهري,زهر
عن,#
أبي,أبي
سلمة,سلم
عن,#
أبي,أبي
هريرة,هرر
أن,#
رسول,رسل
الله,أله
قال,قول
كل,#
أمر,أمر
ذي,#
بال,بول
لم,#
يبدأ,بدأ
فيه,#
بحمد,حمد
الله,أله
فهو,#
أبتر,بتر
فالجواب,جوب
عنه,#
من,#
خمسة,خمس
أوجه,وجه
أحدها,أحد
أن,#
يقلب,قلب
الاعتراض,عرض
عليهم,#
ويستعمل,عمل
دليل,دلل
الخبر,خبر
في,#
سؤالهم,سأل
فيقال,قول
لهم,#
إن,#
كان,كون
سؤالكم,سأل
ذا,#
بال,بول
فهلا,هل
قدمتم,قدم
عليه,#
حمد,حمد
الله,أله
إلا,#
أن,#
يكون,كون
غير,غير
ذي,#
بال,بول
فلا,#
نعول,نعل
عليه,#
وكل,#
سؤال,سأل
انقلب,قلب
على,#
سائله,سول
كان,كون
مطرحا,طرح
والجواب,جوب
الثاني,ثني
أن,#
حمد,حمد
الله,أله
تارة,تير
يكون,كون
خطا,خطا
وتارة,تور
يكون,كون
لفظا,لفظ
وهو,#
أشبه,شبه
الأمرين,أمر
بظاهر,ظهر
الأمر,أمر
والمزني,زنأ
ترك,ترك
حمد,حمد
الله,أله
خطا,خطا
وقد,#
ذكره,ذكر
لفظا,لفظ
حتى,#
روي,روي
أنه,#
كان,كون
يصلي,صلي
ركعتين,ركع
عند,#
تصنيف,صنف
كل,#
باب,بوب
والجواب,جوب
الثالث,ثلث
أن,#
المزني,#
قد,#
حمد,حمد
الله,أله
وسمى,سمو\سما
وأتى,أتي
به,#
كتابة,كتب
ولفظا,لفظ
وقال,قول
الحمد,حمد
لله,إله
الذي,#
لا,#
شريك,شرك
له,#
الذي,#
هو,#
كما,#
وصف,وصف
وفوق,وفق
ما,#
يصفه,وصف
به,#
خلقه,خلق
ليس,#
كمثله,مثل
شيء,#
وهو,#
السميع,سمع
البصير,بصر
فحذف,حذف
ذلك,ذلك
بعض,#
الناقلين,نقل
والجواب,جوب
الرابع,ربع
أن,#
المراد,مرد
بحمد,حمد
الله,أله
إنما,#
هو,#
ذكر,ذكر
الله,أله
لأمرين,أمر
أحدهما,أحد
أنه,#
قد,#
روي,روي
لم,#
يبدأ,بدأ
بذكر,ذكر
الله,أله
والثاني,ثني
يقدر,قدر
استعماله,عمل
لأن,#
التحميد,حمد
إن,#
قدم,قدم
على,#
التسمية,سمو\سما
خولف,خلف
فيه,#
العادة,عود
وإن,#
ذكر,ذكر
بعد,#
التسمية,سمو\سما
لم,#
يقع,قعي
به,#
البداية,بدأ
فثبت,ثبت
بهذين,#
أن,#
المراد,مرد
به,#
ذكر,ذكر
الله,أله
وقد,#
بدأ,بدأ
بذكر,ذكر
الله,أله
في,#
قوله,قول
بسم,سمو\سما
الله,أله
الرحمن,رحم
الرحيم,رحم
والجواب,جوب
الخامس,خمس
أن,#
الأمر,أمر
به,#
محمول,حمل
على,#
ابتداء,بدأ
الخطبة,خطب
دون,#
غيرها,غير
زجرا,زجر
عما,#
كانت,كون
الجاهلية,جهل
عليه,#
من,#
تقديم,قدم
المنثور,نثر
والمنظوم,نظم
والكلام,كلم
المنثور,نثر
وإنما,#
كان,كون
لثلاثة,ثلث
أمور,أمر
أحدها,أحد
ما,#
روي,روي
أن,#
أعرابيا,عرب
خطب,خطب
فترك,ترك
التحميد,حمد
فقال,قول
النبي,نبأ
كل,#
أمر,أمر
ذي,#
بال,بول
لم,#
يبدأ,بدأ
فيه,#
بحمد,حمد
الله,أله
فهو,#
أبتر,بتر
والثاني,ثني
أن,#
أول,أول
ما,#
نزل,نزل
من,#
كتاب,كتب
الله,أله
عز,عزز
وجل,وجل
قوله,قول
اقرأ,قرأ
باسم,سمو\سما
ربك,ربب
الذي,#
خلق,خلق
العلق,علق
وقوله,قول
يا,#
أيها,#
المدثر,دثر
المدثر,دثر
وليس,#
في,#
ابتدائهما,بدأ
حمد,حمد
الله,أله
فلم,#
يجز,جزأ
أن,#
يأمر,أمر
رسول,رسل
الله,أله
بما,#
كتاب,كتب
الله,أله
تعالى,علا
دال,دول
على,#
خلافه,خلف
والثالث,ثلث
أن,#
خبر,خبر
رسول,رسل
الله,أله
لا,#
يجوز,جوز
أن,#
يكون,كون
بخلاف,خلف
مخبره,خبر
فقد,فقد
قال,قول
فهو,#
أبتر,بتر
وكتاب,كتب
المزني,#
أشهر,شهر
كتاب,كتب
صنف,صنف
وأبدع,بدع
مختصر,خصر
ألف,ألف
فعلم,علم
بهذه,#
الأمور,مور
أنه,#
محمول,حمل
على,#
الخطب,خطب
دون,#
غيرها,غير
من,#
المصنفات,صنف
والكتب,كتب
فصل,فصل
والاعتراض,عرض
الثاني,ثني
إن,#
قالوا,قول
لم,#
قال,قول
اختصرت,خصر
قبل,#
اختصاره,خصر
وهذا,#
كذب,كذب
والجواب,جوب
عنه,#
من,#
ثلاثة,ثلث
أوجه,وجه
أحدها,أحد
أنه,#
ترجم,ترجم
كتابه,كتب
بعد,#
فراغه,فرغ
منه,#
وأراد,رود
ما,#
قد,#
اختصر,خصر
بالاختصار,خصر
والجواب,جوب
الثاني,ثني
أنه,#
صور,صور
الكتاب,كتب
في,#
نفسه,نفس
مختصرا,خصر
أو,#
أشار,شور
بالاختصار,خصر
إلى,#
ما,#
في,#
نفسه,نفس
مختصرا,خصر
والجواب,جوب
الثالث,ثلث
أنه,#
قال,قول
اختصرت,خصر
بمعنى,عني
سأختصر,خصر
والعرب,عرب
تقول,قول
فعلت,فعل
بمعنى,عني
سأفعل,فعل
قال,قول
الله,أله
تعالى,علا
أتى,أتي
أمر,أمر
الله,أله
فلا,#
تستعجلوه,عجل
النحل,نحل
بمعنى,عني
سيأتي,أتي
أمر,أمر
الله,أله
ونادى,ندا
أصحاب,صحب
الجنة,جنن
الأعراف,عرف
بمعنى,عني
سينادي,ندي\ندو
أصحاب,صحب
الجنة,جنن
فصل,فصل
والاعتراض,عرض
الثالث,ثلث
إن,#
قالوا,قول
لم,#
قال,قول
اختصرت,خصر
هذه,#
هذا,#
كلمة,كلم
موضوعة,وضع
في,#
اللغة,لغا
إشارة,شور
إلى,#
حاضر,حضر
معين,عون
كما,#
أن,#
ذلك,ذلك
إشارة,شور
إلى,#
غائب,غيب
غير,غير
معين,عون
ولم,#
يكن,كون
ثم,ثم
حاضر,حضر
يشير,شور
إليه,#
وهذا,#
جهل,جهل
باللغة,لغو
وهو,#
موضوع,وضع
الكلام,كلم
والجواب,جوب
عنه,#
من,#
ثلاثة,ثلث
أوجه,وجه
أحدها,أحد
أنه,#
ترجم,ترجم
كتابه,كتب
بعد,#
الفراغ,فرغ
منه,#
فصار,صار
ذلك,ذلك
منه,#
إشارة,شور
إلى,#
حاضر,حضر
معين,عون
والثاني,ثني
أنه,#
صوره,صور
في,#
نفسه,نفس
وأشار,شور
إلى,#
ما,#
يعين,عون
في,#
ضميره,ضمر
والثالث,ثلث
أن,#
هذا,#
وإن,#
كان,كون
إشارة,شور
إلى,#
حاضر,حضر
معين,عون
فقد,فقد
يستعمله,عمل
العرب,عرب
إشارة,شور
إلى,#
غائب,غيب
كما,#
قال,قول
الله,أله
تعالى,علا
هذا,#
يوم,#
الفصل,فصل
المرسلات,رسل
هذا,#
يوم,#
لا,#
ينطقون,نطق
المرسلات,رسل
إشارة,شور
إلى,#
يوم,#
القيامة,قوم
وإن,#
لم,#
يكن,كون
موضوعا,وضع
حاضرا,حضر
للإشارة,شور
إلى,#
غائب,غيب
كما,#
قال,قول
الله,أله
تعالى,علا
آلم,#
ذلك,ذلك
الكتاب,كتب
البقرة,بقر
يعني,عني
هذا,#
الكتاب,كتب
وكقول,وكقول
خفاف,خفف
بن,بني
ندبة,ندب
السلمي,سلم
فإن,#
تك,تكي
قد,#
أصبت,صوب
حميمها,حمم
فعمدا,عمد
على,#
عين,عون
تيممت,يمم
مالكا,ملك
أقول,قول
له,#
والرمح,رمح
يأطر,أطر
منه,#
تأمل,أمل
خفافا,خفف
إنني,#
أنا,#
ذلكا,ذلك
يعني,عني
إنني,#
أنا,#
هذا,#
فصل,فصل
ثم,ثم
يبدأ,بدأ
بشرح,شرح
الترجمة,ترجم
فيقول,قول
أما,#
قوله,قول
اختصرت,خصر
هذا,#
فحد,حدد
الاختصار,خصر
هو,#
تقليل,قلل
اللفظ,لفظ
مع,#
استبقاء,بقي
المعنى,عني
وقال,قول
الخليل,خلل
بن,بني
أحمد,حمد
هو,#
ما,#
دل,دلل
قليله,قلل
على,#
كثيره,كثر
وهي,#
اختصار,خصر
الاجتماعة,جمع
كما,#
سميت,سمو\سما
المختصرة,خصر
لاجتماع,جمع
السور,سور
فيها,#
وسمي,سمو\سما
خصر,خصر
الإنسان,أنس
لاجتماعه,جمع
ومنه,#
قول,قول
عمر,#
بن,بني
أبي,أبي
ربيعة,ربع
رأت,رأي
رجلا,رجل
أما,#
إذا,#
الشمس,شمس
عارضت,عرض
فيضحى,ضحو
وأما,#
بالعشي,عشي
فيخصر,خصر
معنى,عني
أنه,#
مجتمع,جمع
من,#
شدة,شدد
البرد,برد
وأما,#
هذا,#
فهي,#
كلمة,كلم
إشارة,شور
تجمع,جمع
حرفا,حرف
واسما,سمو\سما
فالحرف,حرف
الهاء,لهي
الموضوعة,وضع
للتنبيه,نبه
والاسم,سمو\سما
ذا,#
وهو,#
من,#
الأسماء,سمو\سما
المبهمة,بهم
ولأجل,أجل
ذلك,ذلك
حسن,حسن
أن,#
يفصل,فصل
بينهما,#
فنقول,قول
هذا,#
فإن,#
قيل,قول
فلم,#
اختصر,خصر
كتابه,كتب
وهلا,#
بسطه,بسط
فإن,#
المبسوط,بسط
أقرب,قرب
إلى,#
الأفهام,فهم
وأغنى,غني
عن,#
الشرح,شرح
قيل,قول
إنما,#
اختصره,خصر
لأن,#
المختصر,خصر
أقرب,قرب
إلى,#
الحفظ,حفظ
وأبسط,بسط
للقارئ,قرأ
وأحسن,حسن
موقعا,وقع
في,#
النفوس,نفس
ولذلك,#
تداول,دول
إعجاز,عجز
قوله,قول
عز,عزز
وجل,وجل
ولكم,#
في,#
القصاص,قصص
حيوة,حيا
البقرة,بقر
لاختصار,خصر
لفظه,لفظ
وإجماع,جمع
