word,root
أيها,اي
المدثر,دثر
المدثر,دثر
وليس,وليس
في,في
ابتدائهما,بدأ
حمد,حمد
الله,له
فلم,فلم
يجز,جزأ
أن,أن
يأمر,أمر
رسول,رسل
الله,له
بما,ما
كتاب,كتب
الله,له
تعالى,علا
دال,دول
على,على
خلافه,خلف
والثالث,ثلث
أن,أن
خبر,خبر
رسول,رسل
الله,له
لا,لا
يجوز,جوز
أن,أن
يكون,يكون
بخلاف,خلف
مخبره,خبر
فقد,فقد
قال,قول
فهو,فهو
أبتر,بتر
وكتاب,كتب
المزني,زنأ
أشهر,شهر
كتاب,كتب
صنف,صنف
وأبدع,بدع
مختصر,خصر
ألف,ألف
فعلم,علم
بهذه,هذه
الأمور,مور
أنه,أنه
محمول,حمل
على,على
الخطب,خطب
دون,دون
غيرها,غور
من,من
المصنفات,صنف
والكتب,كتب
فصل,فصل
والاعتراض,عرض
الثاني,ثني
إن,إن
قالوا,قول
لم,لم
قال,قول
اختصرت,خصر
قبل,قبل
اختصاره,خصر
وهذا,وهذا
كذب,كذب
والجواب,جوب
عنه,عنه
من,من
ثلاثة,ثلث
أوجه,وجه
أحدها,أحد
أنه,أنه
ترجم,ترجم
كتابه,كتب
بعد,بعد
فراغه,فرغ
منه,منه
وأراد,رود
ما,ما
قد,قد
اختصر,خصر
بالاختصار,خصر
والجواب,جوب
الثاني,ثني
أنه,أنه
صور,صور
الكتاب,كتب
في,في
نفسه,نفس
مختصرا,خصر
أو,أو
أشار,شور
بالاختصار,خصر
إلى,إلى
ما,ما
في,في
نفسه,نفس
مختصرا,خصر
والجواب,جوب
الثالث,ثلث
أنه,أنه
قال,قول
اختصرت,خصر
بمعنى,عني
سأختصر,خصر
والعرب,عرب
تقول,قول
فعلت,فعل
بمعنى,عني
سأفعل,فعل
قال,قول
الله,له
تعالى,علا
أتى,أتي
أمر,أمر
الله,له
فلا,فلي
تستعجلوه,تستعجلوه
النحل,نحل
بمعنى,عني
سيأتي,سوأ
أمر,أمر
الله,له
ونادى,ندا
أصحاب,صحب
الجنة,جنن
الأعراف,عرف
بمعنى,عني
سينادي,ندا
أصحاب,صحب
الجنة,جنن
فصل,فصل
والاعتراض,عرض
الثالث,ثلث
إن,إن
قالوا,قول
لم,لم
قال,قول
اختصرت,خصر
هذه,هذه
هذا,هذا
كلمة,كلم
موضوعة,وضع
في,في
اللغة,لغا
إشارة,شور
إلى,إلى
حاضر,حضر
معين,عون
كما,كما
أن,أن
ذلك,ذلك
إشارة,شور
إلى,إلى
غائب,غيب
غير,غور
معين,عون
ولم,ولم
يكن,كني
ثم,ثم
حاضر,حضر
يشير,شور
إليه,أله
وهذا,وهذا
جهل,جهل
باللغة,لغا
وهو,وهو
موضوع,وضع
الكلام,كلم
والجواب,جوب
عنه,عنه
من,من
ثلاثة,ثلث
أوجه,وجه
أحدها,أحد
أنه,أنه
ترجم,ترجم
كتابه,كتب
بعد,بعد
الفراغ,فرغ
منه,منه
فصار,صار
ذلك,ذلك
منه,منه
إشارة,شور
إلى,إلى
حاضر,حضر
معين,عون
والثاني,ثني
أنه,أنه
صوره,صور
في,في
نفسه,نفس
وأشار,شور
إلى,إلى
ما,ما
يعين,عون
في,في
ضميره,ضمر
والثالث,ثلث
أن,أن
هذا,هذا
وإن,إن
كان,كان
إشارة,شور
إلى,إلى
حاضر,حضر
معين,عون
فقد,فقد
يستعمله,عمل
العرب,عرب
إشارة,شور
إلى,إلى
غائب,غيب
كما,كما
قال,قول
الله,له
تعالى,علا
هذا,هذا
يوم,يوم
الفصل,فصل
المرسلات,رسل
هذا,هذا
يوم,يوم
لا,لا
ينطقون,نطق
المرسلات,رسل
إشارة,شور
إلى,إلى
يوم,يوم
القيامة,قوم
وإن,إن
لم,لم
يكن,كني
موضوعا,وضع
حاضرا,حضر
للإشارة,شور
إلى,إلى
غائب,غيب
كما,كما
قال,قول
الله,له
تعالى,علا
آلم,لم
ذلك,ذلك
الكتاب,كتب
البقرة,بقر
يعني,عني
هذا,هذا
الكتاب,كتب
وكقول,وكقول
خفاف,خفف
بن,بني
ندبة,ندب
السلمي,سلم
فإن,فإن
تك,تكي
قد,قد
أصبت,صبأ
حميمها,حمم
فعمدا,عمد
على,على
عين,عون
تيممت,يمم
مالكا,ملك
أقول,قول
له,له
والرمح,رمح
يأطر,أطر
منه,منه
تأمل,أمل
خفافا,خفف
إنني,ان
أنا,أني
ذلكا,ذلك
يعني,عني
إنني,ان
أنا,أني
هذا,هذا
فصل,فصل
ثم,ثم
يبدأ,بدأ
بشرح,شرح
الترجمة,ترجم
فيقول,فيقول
أما,أما
قوله,قول
اختصرت,خصر
هذا,هذا
فحد,حدد
الاختصار,خصر
هو,هو
تقليل,قلل
اللفظ,لفظ
مع,مع
استبقاء,بقي
المعنى,عني
وقال,وقل
الخليل,خلل
بن,بني
أحمد,حمد
هو,هو
ما,ما
دل,دلي
قليله,قلل
على,على
كثيره,كثر
وهي,وهي
اختصار,خصر
الاجتماعة,جمع
كما,كما
سميت,سمت
المختصرة,خصر
لاجتماع,جمع
السور,سور
فيها,فيها
وسمي,سمي
خصر,خصر
الإنسان,أنس
لاجتماعه,جمع
ومنه,منه
قول,قول
عمر,عمر
بن,بني
أبي,أبي
ربيعة,ربع
رأت,رأى
رجلا,رجل
أما,أما
إذا,إذا
الشمس,شمس
عارضت,عرض
فيضحى,فيضحى
وأما,أما
بالعشي,عشي
فيخصر,فيخصر
معنى,عني
أنه,أنه
مجتمع,جمع
من,من
شدة,شيد
البرد,برد
وأما,أما
هذا,هذا
فهي,فوه
كلمة,كلم
إشارة,شور
تجمع,جمع
حرفا,حرف
واسما,سمي
فالحرف,حرف
الهاء,لهي
الموضوعة,وضع
للتنبيه,نبه
والاسم,سمي
ذا,ذا
وهو,وهو
من,من
الأسماء,سمي
المبهمة,بهم
ولأجل,أجل
ذلك,ذلك
حسن,حسن
أن,أن
يفصل,فصل
بينهما,بين
فنقول,نقل
هذا,هذا
فإن,فإن
قيل,قول
فلم,فلم
اختصر,خصر
كتابه,كتب
وهلا,هل
بسطه,بسط
فإن,فإن
المبسوط,بسط
أقرب,قرب
إلى,إلى
الأفهام,فهم
وأغنى,غني
عن,عن
الشرح,شرح
قيل,قول
إنما,نمي
اختصره,خصر
لأن,لأن
المختصر,خصر
أقرب,قرب
إلى,إلى
الحفظ,حفظ
وأبسط,بسط
للقارئ,قرأ
وأحسن,حسن
موقعا,وقع
في,في
النفوس,نفس
ولذلك,لذلك
تداول,دول
إعجاز,عجز
قوله,قول
عز,عزز
وجل,وجل
ولكم,لكم
في,في
القصاص,قصص
حيوة,حيا
البقرة,بقر
لاختصار,خصر
لفظه,لفظ
وإجماع,جمع
