word,root
الجاهلية,جهل
خياركم,خور
في,في
الإسلام,سلم
إذا,إذا
فقهوا,فقه
ولهذا,لهذا
اشتغل,شغل
به,به
أعلام,علم
الصحابة,صحب
والتابعين,تبع
رضوان,رضي
الله,له
عليهم,علي
وأول,وأل
من,من
فرع,فرع
فيه,فيه
وألف,ألف
وصنف,صنف
سراج,سرج
الأمة,لأم
أبو,أبو
حنيفة,حنف
رحمة,رحم
الله,له
عليه,عليه
بتوفيق,وفق
من,من
الله,له
عز,عزز
وجل,وجل
خصه,خصص
به,به
واتفاق,فوق
من,من
أصحاب,صحب
اجتمعوا,جمع
له,له
كأبي,كأب
يوسف,يوسف
يعقوب,عقب
بن,بني
إبراهيم,ابراهيم
بن,بني
خنيس,خنس
الأنصاري,صور
رحمه,رحم
الله,له
تعالى,علا
المقدم,قدم
في,في
علم,علم
الأخبار,خبر
والحسن,حسن
بن,بني
زياد,زود
اللؤلؤي,لؤلؤي
المقدم,قدم
في,في
السؤال,سأل
والتفريع,فرع
وزفر,زفر
بن,بني
الهذيل,هذل
رحمه,رحم
الله,له
بن,بني
قيس,قوس
بن,بني
سليم,سلم
بن,بني
مكمل,كمل
بن,بني
ذهل,ذهل
بن,بني
ذؤيب,ذأب
بن,بني
جذيمة,جذم
بن,بني
عمرو,عمرو
المقدم,قدم
في,في
القياس,قوس
ومحمد,حمد
بن,بني
الحسن,حسن
الشيباني,شوب
رحمه,رحم
الله,له
تعالى,علا
المقدم,قدم
في,في
الفطنة,فطن
وعلم,علم
الإعراب,عرب
والنحو,نحو
والحساب,حسب
هذا,هذا
مع,مع
أنه,أنه
ولد,ولد
في,في
عهد,عهد
الصحابة,صحب
رضوان,رضي
الله,له
عليهم,علي
ولقي,لقي
منهم,نهم
جماعة,جمع
كأنس,كأنس
بن,بني
مالك,ملك
وعامر,عمر
بن,بني
الطفيل,طفل
وعبد,عبد
الله,له
بن,بني
خبر,خبر
الزبيدي,زبد
رضوان,رضي
الله,له
عليهم,علي
أجمعين,جمع
ونشأ,نشأ
في,في
زمن,زمن
التابعين,تبع
رحمهم,رحم
الله,له
وتفقه,فقه
وأفتى,فتأ
معهم,مع
وقد,وقد
قال,قول
النبي,نبأ
عليه,عليه
الصلاة,صلي
والسلام,سلم
خير,خور
القرون,قرن
قرني,قرر
الذين,الذين
أنا,أني
فيهم,في
ثم,ثم
الذين,الذين
يلونهم,لون
ثم,ثم
الذين,الذين
يلونهم,لون
ثم,ثم
يفشو,شوي
الكذب,كذب
حتى,حتى
يشهد,شهد
الرجل,رجل
قبل,قبل
أن,أن
يستشهد,شهد
ويحلف,حلف
قبل,قبل
أن,أن
يستحلف,حلف
فمن,من
فرع,فرع
ودون,دون
العلم,علم
في,في
زمن,زمن
شهد,شهد
رسول,رسل
الله,له
صلى,صلي
الله,له
عليه,عليه
وسلم,سلم
لأهله,أهل
بالخير,خور
والصدق,صدق
كان,كان
مصيبا,صوب
مقدما,قد
كيف,كيف
وقد,وقد
أقر,قرر
له,له
الخصوم,خصم
بذلك,بذل
حتى,حتى
قال,قول
الشافعي,شفع
رضي,رضي
الله,له
عنه,عنه
الناس,نوس
كلهم,كل
عيال,عول
على,على
أبي,أبي
حنيفة,حنف
رحمه,رحم
الله,له
في,في
الفقه,فقه
وبلغ,بلغ
بن,بني
سريج,سرج
رحمه,رحم
الله,له
وكان,وكان
مقدما,قد
من,من
أصحاب,صحب
الشافعي,شفع
رحمه,رحم
الله,له
أن,أن
رجلا,رجل
يقع,قعي
في,في
أبي,أبي
حنيفة,حنف
رحمه,رحم
الله,له
فدعاه,دعا
وقال,وقل
يا,يا
هذا,هذا
أتقع,قعي
في,في
رجل,رجل
سلم,سلم
له,له
جميع,جمع
الأمة,لأم
ثلاثة,ثلث
أرباع,ربع
العلم,علم
وهو,وهو
لا,لا
يسلم,سلم
لهم,لهم
الربع,ربع
قال,قول
وكيف,وكف
ذلك,ذلك
قال,قول
الفقه,فقه
سؤال,سأل
وجواب,جوب
وهو,وهو
الذي,الذي
تفرد,فرد
بوضع,وضع
الأسئلة,سول
فسلم,سلم
له,له
نصف,نصف
العلم,علم
ثم,ثم
أجاب,جوب
عن,عن
الكل,كل
وخصومه,خصم
لا,لا
يقولون,قول
إنه,ان
أخطأ,خطأ
في,في
الكل,كل
فإذا,إذا
جعلت,جعل
ما,ما
وافقوه,فقأ
مقابلا,قبل
بما,ما
خالفوه,خالفوه
فيه,فيه
سلم,سلم
له,له
ثلاثة,ثلث
أرباع,ربع
العلم,علم
وبقي,بقي
الربع,ربع
بينه,بين
وبين,وبين
سائر,سور
الناس,نوس
فتاب,توب
الرجل,رجل
عن,عن
مقالته,مقل
ومن,ومن
فرغ,فرغ
نفسه,نفس
لتصنيف,صنف
ما,ما
فرعه,فرع
أبو,أبو
حنيفة,حنف
رحمه,رحم
الله,له
محمد,حمد
بن,بني
الحسن,حسن
الشيباني,شوب
رحمه,رحم
الله,له
فإنه,فإن
جمع,جمع
المبسوط,بسط
لترغيب,رغب
المتعلمين,علم
والتيسير,يسر
عليهم,علي
ببسط,بسط
الألفاظ,لفظ
وتكرار,كرر
المسائل,سول
في,في
الكتب,كتب
ليحفظوها,ليحفظوها
شاؤوا,شاؤوا
أو,أو
أبوا,بوأ
إلى,إلى
أن,أن
رأى,رأى
الحاكم,حكم
الشهيد,شهد
أبو,أبو
الفضل,فضل
محمد,حمد
بن,بني
أحمد,حمد
المروزي,روز
رحمه,رحم
الله,له
إعراضا,عرض
من,من
بعض,بعض
المتعلمين,علم
عن,عن
قراءة,قرأ
المبسوط,بسط
لبسط,بسط
في,في
الألفاظ,لفظ
وتكرار,كرر
في,في
المسائل,سول
فرأى,فرأ
الصواب,صوب
في,في
تأليف,ألف
المختصر,خصر
بذكر,ذكر
معاني,عني
كتب,كتب
محمد,حمد
بن,بني
الحسن,حسن
رحمه,رحم
الله,له
المبسوطة,بسط
فيه,فيه
وحذف,حذف
المكرر,كرر
من,من
مسائلة,سول
ترغيبا,رغب
للمقتبسين,قبس
ونعم,نعم
ما,ما
صنع,صنع
قال,قول
الشيخ,شيخ
الإمام,أمم
رحمه,رحم
الله,له
تعالى,علا
ثم,ثم
إني,نيأ
رأيت,رأى
في,في
زماني,زوم
بعض,بعض
الإعراض,عرض
عن,عن
الفقه,فقه
من,من
الطالبين,طلب
لأسباب,سبب
فمنها,منها
قصور,قصر
الهمم,همم
لبعضهم,بعض
حتى,حتى
اكتفوا,كتف
بالخلافيات,خلف
من,من
المسائل,سول
الطوال,طول
ومنها,منها
ترك,ترك
النصيحة,نصح
من,من
بعض,بعض
المدرسين,درس
بالتطويل,طول
عليهم,علي
بالنكات,نكت
الطردية,طرد
التي,التي
لا,لا
فقه,فقه
تحتها,تحت
ومنها,منها
تطويل,طول
بعض,بعض
المتكلمين,كلم
بذكر,ذكر
ألفاظ,لفظ
الفلاسفة,فلاسفة
في,في
شرح,شرح
معاني,عني
الفقه,فقه
وخلط,خلط
حدود,حدد
كلامهم,كلم
بها,بها
فرأيت,فرأ
الصواب,صوب
في,في
تأليف,ألف
شرح,شرح
المختصر,خصر
لا,لا
أزيد,زود
على,على
المعنى,عني
المؤثر,أثر
في,في
بيان,بين
كل,كل
مسألة,سأل
اكتفاء,كفأ
بما,ما
هو,هو
المعتمد,عمد
في,في
كل,كل
باب,بوب
وقد,وقد
انضم,وضم
إلى,إلى
ذلك,ذلك
سؤال,سأل
بعض,بعض
الخواص,خوص
من,من
أصحابي,صحب
زمن,زمن
حبسي,حبس
حين,حين
ساعدوني,عدا
لأنسي,نسأ
أن,أن
أملي,ملأ
عليهم,علي
ذلك,ذلك
فأجبتهم,أجب
إليه,أله
وأسأل,سأل
الله,له
تعالى,علا
التوفيق,وفق
للصواب,صوب
والعصمة,عصم
عن,عن
الخطأ,خطأ
وما,ومأ
يوجب,وجب
العقاب,عقب
وأن,وأن
يجعل,جعل
ما,ما
نويت,نوت
فيما,في
أمليت,ملأ
سببا,سبب
لخلاصي,خلص
في,في
الدنيا,دنا
ونجاتي,ونجاتي
في,في
الآخرة,أخر
إنه,ان
قريب,قرب
مجيب,جوب
ثم,ثم
إنه,ان
بدأ,بدأ
بكتاب,كتب
الصلاة,صلي
لأن,لأن
الصلاة,صلي
من,من
أقوى,قوا
الأركان,ركن
بعد,بعد
الإيمان,يمن
بالله,له
تعالى,علا
قال,قول
الله,له
تعالى,علا
فإن,فإن
تابوا,توب
وأقاموا,قوم
الصلاة,صلي
وقال,وقل
عليه,عليه
الصلاة,صلي
والسلام,سلم
الصلاة,صلي
عماد,عمد
الدين,دون
فمن,من
أراد,رود
نصب,نصب
خيمة,خيم
بدأ,بدأ
بنصب,نصب
العماد,عمد
والصلاة,صلي
من,من
أعلى,علا
معالم,علم
الدين,دون
ما,ما
خلت,خلل
عنها,عنها
شريعة,شرع
المرسلين,رسل
صلوات,صلي
الله,له
وسلامه,سلم
عليهم,علي
أجمعين,جمع
وقد,وقد
سمعت,سمع
شيخنا,شيخ
الإمام,أمم
الأستاذ,استاذ
شمس,شمس
الأئمة,ائمة
الحلواني,حلي
رحمه,رحم
الله,له
تعالى,علا
يقول,قول
في,في
تأويل,أول
قوله,قول
تعالى,علا
وأقم,قمأ
الصلاة,صلي
لذكري,ذكر
أي,أي
لأني,أني
ذكرتها,ذكر
في,في
كل,كل
كتاب,كتب
منزل,نزل
على,على
لسان,لسن
كل,كل
نبي,نبأ
مرسل,رسل
وفي,وفي
قوله,قول
عز,عزز
وجل,وجل
ما,ما
سلككم,سلك
في,في
سقر,سقر
قالوا,قول
فحين,فوح
وقعت,قعي
بها,بها
البداية,بدأ
دل,دلي
على,على
أنها,نهي
في,في
القوة,قوا
بأعلى,علا
النهاية,نهي
وفي,وفي
اسم,سمي
الصلاة,صلي
ما,ما
يدل,دلي
على,على
أنها,نهي
ثانية,ثني
الإيمان,يمن
فالمصلي,صلي
في,في
اللغة,لغا
هو,هو
التالي,تلا
للسابق,سبق
في,في
الخيل,خول
قال,قول
القائل,قول
ولا,ولي
بد,بد
لي,ليي
من,من
أن,أن
أكون,كون
مصليا,صلي
إذا,إذا
كنت,كني
أرضى,رضي
أن,أن
يكون,يكون
لك,لكأ
السبق,سبق
وفي,وفي
رواية,روي
أما,أما
كنت,كني
ترضى,رضي
أن,أن
أكون,كون
مصليا,صلي
والصلاة,صلي
في,في
اللغة,لغا
عبارة,عبر
عن,عن
الدعاء,دعا
والثناء,ثني
قال,قول
الله,له
تعالى,علا
وصل,وصل
عليهم,علي
إن,إن
صلاتك,صلت
سكن,سكن
لهم,لهم
أي,أي
دعاءك,دعا
وقال,وقل
القائل,قول
وقابلها,قبل
الريح,روح
في,في
دنها,دنا
وصلى,وصل
على,على
دنها,دنا
وارتسم,رسم
أي,أي
دعا,دعا
وأثنى,ثني
على,على
دنها,دنا
وفي,وفي
الشريعة,شرع
عبارة,عبر
عن,عن
أركان,ركن
مخصوصة,خصص
كان,كان
فيها,فيها
الدعاء,دعا
أو,أو
لم,لم
